ship_type,SHIPNAME,SHIP_ID,LAT,LON,dist_value,DATETIME,max_dist,max_DATETIME
Cargo,AALDERDIJK,754856,59.91311,30.04307,755.450527281399,2016-12-20T08:49:05Z,1101.0481041913285,2016-12-20T08:51:03Z
Cargo,AALDERDIJK,754856,59.91685,30.02478,1101.0481041913285,2016-12-20T08:51:03Z,1101.0481041913285,2016-12-20T08:51:03Z
Cargo,ADAMAS,270507,55.72534,20.85354,0,2016-12-14T22:55:06Z,2822.55543411074,2016-12-14T22:57:06Z
Cargo,ADAMAS,270507,55.71969,20.8096,2822.55543411074,2016-12-14T22:57:06Z,2822.55543411074,2016-12-14T22:57:06Z
Cargo,ADASTRA,732836,59.90572,30.08003,0,2016-12-20T10:17:04Z,2107.9106612387977,2016-12-20T10:25:03Z
Cargo,ADASTRA,732836,59.91283,30.04498,2107.9106612387977,2016-12-20T10:25:03Z,2107.9106612387977,2016-12-20T10:25:03Z
Cargo,ADELE,359306,55.72617,21.08768,508.0665006331251,2016-12-15T05:19:06Z,1638.2838847967903,2016-12-15T05:25:07Z
Cargo,ADELE,359306,55.7167,21.10772,1638.2838847967903,2016-12-15T05:25:07Z,1638.2838847967903,2016-12-15T05:25:07Z
Cargo,ADELINA D,188914,57.6635,11.77983,0,2016-12-15T16:03:05Z,1928.3338866701981,2016-12-15T16:05:06Z
Cargo,ADELINA D,188914,57.6565,11.75017,1928.3338866701981,2016-12-15T16:05:06Z,1928.3338866701981,2016-12-15T16:05:06Z
Cargo,AFRICAN CENDANA,687849,55.73175,20.84616,917.9475742348068,2016-12-17T08:03:06Z,965.083855625761,2016-12-17T08:05:06Z
Cargo,AFRICAN CENDANA,687849,55.73155,20.86157,965.083855625761,2016-12-17T08:05:06Z,965.083855625761,2016-12-17T08:05:06Z
Cargo,AFRICAN GROUSE,3610791,55.11497,19.95943,0,2016-12-16T19:15:03Z,87227.72588098912,2016-12-17T02:35:06Z
Cargo,AFRICAN GROUSE,3610791,55.73736,20.80092,87227.72588098912,2016-12-17T02:35:06Z,87227.72588098912,2016-12-17T02:35:06Z
Cargo,AFRICAN MAGNOLIA,3711215,54.68843,20.2122,NA,2016-12-13T22:19:03Z,62.70088133202528,2016-12-13T22:21:02Z
Cargo,AFRICAN MAGNOLIA,3711215,54.68849,20.21317,62.70088133202528,2016-12-13T22:21:02Z,62.70088133202528,2016-12-13T22:21:02Z
Cargo,AGNETHE ARCTICA,4003834,54.36948,18.665,271.5471680486951,2016-12-18T10:31:01Z,533.4208588798633,2016-12-18T10:35:02Z
Cargo,AGNETHE ARCTICA,4003834,54.36469,18.66545,533.4208588798633,2016-12-18T10:35:02Z,533.4208588798633,2016-12-18T10:35:02Z
Cargo,AGOT,377957,55.7237,21.09678,1055.61034487105,2016-12-20T06:33:06Z,1165.0284621050876,2016-12-20T06:39:06Z
Cargo,AGOT,377957,55.71589,21.10918,1165.0284621050876,2016-12-20T06:39:06Z,1165.0284621050876,2016-12-20T06:39:06Z
Cargo,AKACIA,300096,54.46332,18.9992,895.5857033779299,2016-12-16T08:11:02Z,57040.602061613,2016-12-16T11:41:02Z
Cargo,AKACIA,300096,54.66873,19.80998,57040.602061613,2016-12-16T11:41:02Z,57040.602061613,2016-12-16T11:41:02Z
Cargo,AKERDIJK,755306,54.65897,19.83891,451.4000045408982,2016-12-20T11:01:03Z,1735.225259270771,2016-12-20T11:07:04Z
Cargo,AKERDIJK,755306,54.65045,19.86151,1735.225259270771,2016-12-20T11:07:04Z,1735.225259270771,2016-12-20T11:07:04Z
Cargo,ALANA,3569217,55.86231,20.83628,0,2016-12-19T10:29:05Z,2147.9363434703855,2016-12-19T10:31:06Z
Cargo,ALANA,3569217,55.8785,20.8175,2147.9363434703855,2016-12-19T10:31:06Z,2147.9363434703855,2016-12-19T10:31:06Z
Cargo,ALANA EVITA,268459,54.66463,19.82511,0,2016-12-17T16:43:03Z,55348.78246112328,2016-12-17T19:45:01Z
Cargo,ALANA EVITA,268459,54.5491,18.98915,55348.78246112328,2016-12-17T19:45:01Z,55348.78246112328,2016-12-17T19:45:01Z
Cargo,ALEXANDER B,365485,54.68479,18.95132,0,2016-12-14T11:11:01Z,2079.0976673390937,2016-12-14T11:13:01Z
Cargo,ALEXANDER B,365485,54.66798,18.93716,2079.0976673390937,2016-12-14T11:13:01Z,2079.0976673390937,2016-12-14T11:13:01Z
Cargo,ALLEGRA,755491,59.90941,30.06115,381.9605414992636,2016-12-16T21:41:07Z,1083.9642343548655,2016-12-16T21:43:05Z
Cargo,ALLEGRA,755491,59.91301,30.04308,1083.9642343548655,2016-12-16T21:43:05Z,1083.9642343548655,2016-12-16T21:43:05Z
Cargo,ALMENDRO,463311,59.90667,30.0754,322.3847905596193,2016-12-20T08:49:05Z,990.2932565957426,2016-12-20T08:51:03Z
Cargo,ALMENDRO,463311,59.91003,30.05895,990.2932565957426,2016-12-20T08:51:03Z,990.2932565957426,2016-12-20T08:51:03Z
Cargo,AMANDA,323355,57.60248,11.78855,400.29681726035216,2016-12-20T08:51:05Z,2529.478918572064,2016-12-20T09:31:05Z
Cargo,AMANDA,323355,57.62234,11.80926,2529.478918572064,2016-12-20T09:31:05Z,2529.478918572064,2016-12-20T09:31:05Z
Cargo,AMBAL,348527,55.176,19.87267,0,2016-12-20T02:13:03Z,56610.96071721343,2016-12-20T08:55:03Z
Cargo,AMBAL,348527,54.6685,19.80217,56610.96071721343,2016-12-20T08:55:03Z,56610.96071721343,2016-12-20T08:55:03Z
Cargo,AMBER SPIRIT,205458,54.65795,19.84142,460.3934000601628,2016-12-19T15:15:03Z,4424.967045290041,2016-12-19T15:33:03Z
Cargo,AMBER SPIRIT,205458,54.63288,19.89483,4424.967045290041,2016-12-19T15:33:03Z,4424.967045290041,2016-12-19T15:33:03Z
Cargo,AMELAND,270056,54.633,19.89367,0,2016-12-18T13:17:02Z,8419.731477295083,2016-12-18T13:43:03Z
Cargo,AMELAND,270056,54.64067,20.02383,8419.731477295083,2016-12-18T13:43:03Z,8419.731477295083,2016-12-18T13:43:03Z
Cargo,AMERDIJK,754855,54.63272,19.89502,0,2016-12-13T18:37:03Z,3831.2638827691076,2016-12-13T18:39:03Z
Cargo,AMERDIJK,754855,54.655,19.8496,3831.2638827691076,2016-12-13T18:39:03Z,3831.2638827691076,2016-12-13T18:39:03Z
Cargo,ANDALUCIA STAR,375298,57.9162,11.63816,0,2016-12-14T22:55:05Z,3814.647487923321,2016-12-14T22:57:05Z
Cargo,ANDALUCIA STAR,375298,57.93881,11.68675,3814.647487923321,2016-12-14T22:57:05Z,3814.647487923321,2016-12-14T22:57:05Z
Cargo,ANETTA,365762,55.73262,20.98763,0,2016-12-16T11:13:06Z,1614.3148961009786,2016-12-16T11:15:07Z
Cargo,ANETTA,365762,55.7312,21.01329,1614.3148961009786,2016-12-16T11:15:07Z,1614.3148961009786,2016-12-16T11:15:07Z
Cargo,ANGLIA SEAWAYS,156758,54.79479,18.94468,0,2016-12-20T02:03:01Z,1508.4924451120053,2016-12-20T02:05:02Z
Cargo,ANGLIA SEAWAYS,156758,54.78513,18.9612,1508.4924451120053,2016-12-20T02:05:02Z,1508.4924451120053,2016-12-20T02:05:02Z
Cargo,ANGORA,3062,55.70655,20.80155,NA,2016-12-15T08:31:06Z,866.6873295469968,2016-12-15T08:33:07Z
Cargo,ANGORA,3062,55.70835,20.81501,866.6873295469968,2016-12-15T08:33:07Z,866.6873295469968,2016-12-15T08:33:07Z
Cargo,ANINA,188849,57.6115,11.634,0,2016-12-15T00:49:05Z,1876.305664171189,2016-12-15T00:51:05Z
Cargo,ANINA,188849,57.61167,11.6025,1876.305664171189,2016-12-15T00:51:05Z,1876.305664171189,2016-12-15T00:51:05Z
